Gruppe,Spieltag,Datum,Uhrzeit,Heimmannschaft,Gastmannschaft,Tore Heim,Tore Gast,Tore Heim HZ,Tore Gast HZ
Gesamtgruppe,1,28.07.2023,20:30,LASK,Rapid Wien,1,1,0,1
Gesamtgruppe,1,29.07.2023,17:00,Wolfsberger AC,FC Blau Weiß Linz,2,1,1,0
Gesamtgruppe,1,29.07.2023,17:00,TSV Hartberg,Austria Lustenau,2,2,1,0
Gesamtgruppe,1,29.07.2023,17:00,WSG Tirol,SK Austria Klagenfurt,1,3,0,1
Gesamtgruppe,1,29.07.2023,19:30,SCR Altach,RB Salzburg,0,2,0,1
Gesamtgruppe,1,30.07.2023,17:00,Austria Wien,Sturm Graz,0,3,0,2
Gesamtgruppe,2,05.08.2023,17:00,Rapid Wien,SCR Altach,4,0,2,0
Gesamtgruppe,2,05.08.2023,19:30,Sturm Graz,LASK,2,0,1,0
Gesamtgruppe,2,06.08.2023,17:00,Austria Lustenau,Austria Wien,0,2,0,1
Gesamtgruppe,2,06.08.2023,17:00,RB Salzburg,WSG Tirol,3,0,0,0
Gesamtgruppe,2,06.08.2023,17:00,FC Blau Weiß Linz,TSV Hartberg,3,3,1,2
Gesamtgruppe,2,09.08.2023,20:30,SK Austria Klagenfurt,Wolfsberger AC,2,2,1,0
Gesamtgruppe,3,12.08.2023,17:00,Sturm Graz,SK Austria Klagenfurt,0,0,0,0
Gesamtgruppe,3,12.08.2023,17:00,Wolfsberger AC,Austria Lustenau,1,1,0,0
Gesamtgruppe,3,12.08.2023,19:30,LASK,FC Blau Weiß Linz,2,0,1,0
Gesamtgruppe,3,13.08.2023,17:00,RB Salzburg,Austria Wien,2,0,0,0
Gesamtgruppe,3,13.08.2023,17:00,Rapid Wien,TSV Hartberg,0,1,0,0
Gesamtgruppe,3,13.08.2023,17:00,SCR Altach,WSG Tirol,1,0,0,0
Gesamtgruppe,4,19.08.2023,17:00,WSG Tirol,LASK,1,1,1,0
Gesamtgruppe,4,19.08.2023,17:00,Austria Lustenau,Sturm Graz,0,1,0,1
