OrderID;OrderPriority;OrderDate;CustomerID;Country;ProductID;Category;Quantity;PricePerUnit;Payment
2400001;Next Day;01.01.2024;2518108;Belgium;1006100;Heating;16;8.99;Credit Card - VISA
2400001;Next Day;01.01.2024;2518108;Belgium;1036921;Bathroom;19;89.3;Credit Card - VISA
2400002;Express;01.01.2024;4646272;Czech Republic;1023381;Heating;45;4.2;Instant Bank Transfer
2400003;Regular;01.01.2024;2806300;Italy;1042449;Heating;41;5.99;PayPal
2400003;Regular;01.01.2024;2806300;Italy;1060255;Lights;52;2.58;PayPal
2400004;Express;01.01.2024;5520830;Germany;1068833;Lights;40;0.7;Credit Card - Mastercard
2400005;Regular;01.01.2024;1286266;Italy;1094672;Bathroom;43;3.92;Credit Card - Mastercard
2400006;Express;01.01.2024;3859907;Hungary;1063690;Living;26;9.45;Direct Debit
2400007;Express;01.01.2024;4774974;Austria;1011212;Bathroom;32;54.74;Credit Card - Diners
2400008;Regular;01.01.2024;2806300;Italy;1060255;Lights;44;2.58;PayPal
2400009;Express;01.01.2024;5754027;Belgium;1050818;Bathroom;20;5.21;Instant Bank Transfer
2400010;Express;01.01.2024;4326762;Slovenia;1074274;Kitchen;29;12.98;Direct Debit
2400011;Next Day;01.01.2024;2562280;Czech Republic;1079988;Lights;48;8.99;PayPal
2400012;Express;01.01.2024;2562280;Czech Republic;1079988;Lights;50;8.99;PayPal
2400013;Regular;01.01.2024;5270538;Germany;1084444;Living;10;53.03;Direct Debit
2400014;Regular;01.01.2024;5106639;Austria;1072495;Heating;47;4.2;Credit Card - VISA
2400015;Regular;01.01.2024;3356913;Austria;1082439;Bathroom;22;7.78;Credit Card - Diners
2400016;Next Day;01.01.2024;4834419;Germany;1097246;Lights;10;1.92;Credit Card - VISA
2400017;Next Day;01.01.2024;5270538;Germany;1084444;Living;6;53.03;Direct Debit
2400018;Next Day;01.01.2024;5270538;Germany;1084444;Living;2;53.03;Direct Debit
2400019;Regular;02.01.2024;5270538;Germany;1084444;Living;3;53.03;Direct Debit
2400020;Regular;02.01.2024;3859907;Hungary;1051850;Kitchen;31;9.03;Direct Debit
2400021;Regular;02.01.2024;4646272;Czech Republic;1023381;Heating;45;4.2;Instant Bank Transfer
2400022;Express;02.01.2024;5754027;Belgium;1050818;Bathroom;21;5.21;Instant Bank Transfer
2400023;Regular;02.01.2024;3937891;Germany;1056326;Living;10;35;Debit Card - Maestro
2400024;Express;02.01.2024;3937891;Germany;1056326;Living;8;35;Debit Card - Maestro
2400025;Express;02.01.2024;5651952;Austria;1073471;Lights;33;13.89;Credit Card - American Express
2400026;Express;02.01.2024;2474540;Germany;1074852;Lights;24;0.7;Credit Card - VISA
2400027;Express;02.01.2024;1443798;Hungary;1001980;Kitchen;24;1.39;Credit Card - VISA
2400028;Regular;02.01.2024;4806630;Germany;1022642;Heating;12;4.23;Instant Bank Transfer
2400029;Next Day;02.01.2024;5651952;Austria;1073471;Lights;37;13.89;Credit Card - American Express
2400030;Next Day;02.01.2024;4834419;Germany;1097246;Lights;3;1.92;Credit Card - VISA
2400031;Next Day;02.01.2024;3292182;Germany;1051680;Lights;22;1;Direct Debit
2400032;Express;02.01.2024;2518108;Belgium;1036921;Bathroom;26;89.3;Credit Card - VISA
2400033;Regular;02.01.2024;3817769;Germany;1051855;Bathroom;32;54.11;Direct Debit
2400034;Express;02.01.2024;1443798;Hungary;1005386;Kitchen;1;11.54;Credit Card - VISA
2400035;Regular;02.01.2024;4188310;Germany;1090382;Lights;1;0.7;Direct Debit
2400036;Express;02.01.2024;4774974;Austria;1011212;Bathroom;26;54.74;Credit Card - Diners
2400037;Express;02.01.2024;2645542;Slovakia;1000768;Heating;19;8.08;Credit Card - VISA
